party,pass__
R,1.5102522130564948
LI,1.4971014492753623
AI,1.4898246133353068
PF,1.4530938123752495
YY,1.4463397299218195
NL,1.4444444444444444
DS,1.4395356216286839
GR,1.4139372822299652
D,1.3664774475416896
RM,1.3333333333333333
UR,1.0
